Date,High,Low,Open,Close,Volume,Adj
2016-02-19,51100,49950,50300,50600,301800,45921.68359
2016-02-22,50800,49850,50300,50400,153961,45740.17578
2016-02-23,53000,50800,50800,52800,431934,47918.27344
2016-02-24,53500,51900,52000,53500,259616,48553.55469
2016-02-25,54700,52700,53900,53900,170839,48916.57422
2016-02-26,54500,53200,54300,53300,159453,48372.04688
2016-02-29,53900,52800,53000,53000,154692,48099.78516
2016-03-02,55200,53500,53900,55100,229999,50005.625
2016-03-03,55800,54300,55300,55000,217063,49914.86719
2016-03-04,54800,53200,54700,54200,237934,49188.83594
